id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie,roznica_od_wzorcowego
12295,Białystok,2024-09-06,13,28.2,4,120,32.1,0,1022.1,8.85
12600,Bielsko Biała,2024-09-06,13,26.6,5,50,35.1,0,1013.7,0.45
12235,Chojnice,2024-09-06,13,28.3,5,120,27.1,0,1018.4,5.15
12550,Częstochowa,2024-09-06,13,27.1,4,110,29.1,0,1015.1,1.85
12160,Elbląg,2024-09-06,13,26.2,5,90,41.2,0,1020.5,7.25
12155,Gdańsk,2024-09-06,13,23.9,4,40,66.3,0,1020.6,7.35
12300,Gorzów,2024-09-06,13,29.3,5,130,26.2,0,1015.2,1.95
12135,Hel,2024-09-06,13,23.6,5,70,74.4,0,1021.3,8.05
12500,Jelenia Góra,2024-09-06,13,24.5,5,80,44.2,0,1013.9,0.65
12435,Kalisz,2024-09-06,13,28.7,6,90,29.1,0,1015.1,1.85
12650,Kasprowy Wierch,2024-09-06,13,13.2,5,220,61.6,0,,
12560,Katowice,2024-09-06,13,27.2,5,80,35.0,0,1014.6,1.35
12185,Kętrzyn,2024-09-06,13,28.3,6,110,37.0,0,1021.6,8.35
12570,Kielce,2024-09-06,13,28.2,7,120,23.2,0,1016.4,3.15
12520,Kłodzko,2024-09-06,13,25.1,3,60,38.2,0,1014.1,0.85
12345,Koło,2024-09-06,13,28.9,10,110,24.2,0,1016.7,3.45
12100,Kołobrzeg,2024-09-06,13,19.9,5,80,79.4,0,1018.2,4.95
12105,Koszalin,2024-09-06,13,28.9,4,120,32.0,0,1018.3,5.05
12488,Kozienice,2024-09-06,13,29.6,3,120,27.2,0,1018.7,5.45
12566,Kraków,2024-09-06,13,27.9,7,80,30.1,0,1015.2,1.95
12670,Krosno,2024-09-06,13,26.6,6,90,29.2,0,1015.9,2.65
12415,Legnica,2024-09-06,13,26.7,4,100,35.2,0,1014.6,1.35
12690,Lesko,2024-09-06,13,26,4,110,33.1,0,1016.4,3.15
12418,Leszno,2024-09-06,13,27.9,6,80,36.1,0,1014.9,1.65
12125,Lębork,2024-09-06,13,27,6,70,46.0,0,1020.1,6.85
12495,Lublin,2024-09-06,13,28.7,6,130,24.1,0,1018.7,5.45
12120,Łeba,2024-09-06,13,23.2,6,50,66.2,0,1020.4,7.15
12465,Łódź,2024-09-06,13,28.3,6,90,26.2,0,1016.6,3.35
12280,Mikołajki,2024-09-06,13,27.7,5,100,39.9,0,1021.5,8.25
12270,Mława,2024-09-06,13,28.6,6,120,32.0,0,1019.5,6.25
12660,Nowy Sącz,2024-09-06,13,28.7,3,120,27.1,0,1014.8,1.55
12272,Olsztyn,2024-09-06,13,28.3,5,120,33.0,0,1020.5,7.25
12530,Opole,2024-09-06,13,29.6,4,110,27.2,0,1014.1,0.85
12285,Ostrołęka,2024-09-06,13,28.5,5,110,34.6,0,1020.7,7.45
12230,Piła,2024-09-06,13,28.7,7,110,25.2,0,1017,3.75
12001,Platforma,2024-09-06,13,20,9,90,85.8,0,1022.4,9.15
12360,Płock,2024-09-06,13,28.4,7,100,30.0,0,1018,4.75
12330,Poznań,2024-09-06,13,28.9,7,140,27.2,0,1015.5,2.25
12695,Przemyśl,2024-09-06,13,26.6,5,120,29.4,0,1017.9,4.65
12540,Racibórz,2024-09-06,13,28.4,3,80,30.0,0,1013.7,0.45
12210,Resko,2024-09-06,13,28.4,4,90,31.1,0,1017.2,3.95
12580,Rzeszów,2024-09-06,13,28.2,12,110,23.2,0,1017.2,3.95
12585,Sandomierz,2024-09-06,13,28.8,5,110,20.3,0,1017.3,4.05
12385,Siedlce,2024-09-06,13,29.2,4,120,27.1,0,1020,6.75
12310,Słubice,2024-09-06,13,28.9,6,90,27.2,0,1014.4,1.15
12469,Sulejów,2024-09-06,13,28.3,6,100,24.2,0,1016.5,3.25
12195,Suwałki,2024-09-06,13,26.9,3,100,36.2,0,1023.2,9.95
12205,Szczecin,2024-09-06,13,29.9,7,100,29.0,0,1016,2.75
12215,Szczecinek,2024-09-06,13,28.8,7,100,24.0,0,1017.8,4.55
12510,Śnieżka,2024-09-06,13,15.6,5,200,45.4,0,,
12200,Świnoujście,2024-09-06,13,23.1,9,60,74.3,0,1017.3,4.05
12575,Tarnów,2024-09-06,13,28.3,4,90,31.0,0,1015.3,2.05
12399,Terespol,2024-09-06,13,28.2,5,90,36.0,0,1021.2,7.95
12250,Toruń,2024-09-06,13,29.3,7,90,27.1,0,1017.7,4.45
12115,Ustka,2024-09-06,13,22.7,6,60,71.5,0,1019.4,6.15
12375,Warszawa,2024-09-06,13,29,8,110,27.0,0,1019.1,5.85
12455,Wieluń,2024-09-06,13,28,4,120,30.1,0,1015,1.75
12497,Włodawa,2024-09-06,13,28.6,5,90,29.1,0,1020.3,7.05
12424,Wrocław,2024-09-06,13,28.6,4,100,34.0,0,1014.3,1.05
12625,Zakopane,2024-09-06,13,24.4,2,260,35.3,0,,
12595,Zamość,2024-09-06,13,28,8,120,27.2,0,1019,5.75
12400,Zielona Góra,2024-09-06,13,26.9,4,110,34.0,0,1014.4,1.15
